Ticket,Price
Universal Studios Singapore - 1-Day Admission Tickets,S$83
Universal Studios Singapore - Universal Express Pass,S$99
Universal Studios Singapore - Universal Studios Singapore VIP Tour,S$356.43
Gardens by the Bay - Admission to Floral Fantasy: Singapore Residents,S$10
Gardens by the Bay - Cloud Forest + Flower Dome + Floral Fantasy: Singapore Residents,S$30
Gardens by the Bay - Flower Dome + Supertree Observatory + Floral Fantasy: Non-Residents,S$48
Night Safari Singapore - Admission Ticket + Tram Ride: Singapore Residents,S$49.50
Night Safari Singapore - Singapore Resident,S$144
Night Safari Singapore - Singapore Night Safari + River Wonders (Open-dated) for Tourist,S$89
Marina Bay Sands Skypark - Marina Bay Sands Skypark: Non-Peak Hour Tickets,S$30
ArtScience Museum - Mars : The red mirror tickets,S$23
Singapore Flyer - Sky Dining by Singapore Flyer for 2 People,S$260
S.E.A Aquarium Singapore - 1-Day Admission Tickets,S$83
Bird Paradise Singapore - Bird Paradise + Night Safari + Singapore Zoo + River Wonders – Residents,S$144
Bird Paradise Singapore - Singapore Resident,S$144
Bird Paradise Singapore - 2 Attractions,S$84
Bird Paradise Singapore - 2-Day Pass,S$269
Singapore Zoo - Admission Ticket + Tram Ride: Singapore Residents,S$45.60
Singapore Zoo - Singapore Resident,S$144
Singapore Zoo - Singapore Residents: 2 in 1 Park Hopper (Singapore Zoo + River Wonders),S$88
Singapore Zoo - 2-Day Pass,S$269
Singapore Zoo - 2 Attractions,S$84
Snow City - 1-Hour Play Session,S$12
Adventure Cove Waterpark - Admission Tickets,S$40
Adventure Cove Waterpark - Dolphin Observer Experience + Adventure Cove Waterpark™,S$63
River Wonders Singapore - Singapore Residents,S$42
River Wonders Singapore - Singapore Residents: 2 in 1 Park Hopper (Singapore Zoo + River Wonders),S$88
River Wonders Singapore - Singapore Resident,S$144
River Wonders Singapore - 2 Attractions,S$84
River Wonders Singapore - 2-Day Pass,S$269
Skyline Luge Sentosa - Luge & Skyride: 2 Rounds + Luge Branded Merchandise,S$34.05
Skyline Luge Sentosa - COMBO: Singapore Cable Car Sky Pass + Skyline Luge Sentosa,S$59
Trickeye Museum Singapore - 2 Attractions,S$84
Trickeye Museum Singapore - 2-Day Pass,S$269
Resorts World Sentosa - 1-Day Admission Tickets,S$83
Resorts World Sentosa - Admission Tickets,S$40
Resorts World Sentosa - Discovery Tickets,S$144
Resorts World Sentosa - Dolphin Observer Experience + Adventure Cove Waterpark™,S$63
Resorts World Sentosa - Universal Express Pass,S$99
Mandai Wildlife Reserve - Singapore Resident,S$144
Mandai Wildlife Reserve - Singapore Night Safari + River Wonders (Open-dated) for Tourist,S$89
Mandai Wildlife Reserve - Singapore Residents: 2 in 1 Park Hopper (Singapore Zoo + River Wonders),S$88
"Mandai Wildlife Reserve - Singapore Zoo + Jurong Bird Park - Admission (Open-dated) , for Local",S$88
Mandai Wildlife Reserve - Admission Ticket + Tram Ride: Singapore Residents,S$45.60
Mandai Wildlife Reserve - Bird Paradise + Night Safari + Singapore Zoo + River Wonders – Residents,S$144
